id,user_name,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
195087,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249039/medium.jpg,35.9850865105,-79.0607486492,Vicia sativa,Common Vetch,53324,Fabaceae
195090,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249040/medium.jpg,35.9847218887,-79.0619288211,Sisyrinchium angustifolium,narrow-leaved blue-eyed grass,49916,Iridaceae
195092,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249045/medium.jpg,35.9847218887,-79.0619288211,Mazus pumilus,Japanese mazus,126376,Mazaceae
195093,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249047/medium.jpg,35.9847218887,-79.0619288211,Oxalis,woodsorrels,47758,Oxalidaceae
195096,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249051/medium.jpg,35.9847218887,-79.0619288211,Trifolium campestre,hop trefoil,57076,Fabaceae
195097,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249052/medium.jpg,35.9850865105,-79.0606413608,Plantago lanceolata,ribwort plantain,53178,Plantaginaceae
195099,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249057/medium.jpg,35.9850517847,-79.0607486492,Plantago lanceolata,ribwort plantain,53178,Plantaginaceae
195106,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249065/medium.jpg,35.9848955183,-79.0606842762,Trifolium pratense,Red Clover,51875,Fabaceae
195109,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249072/medium.jpg,35.9851385992,-79.0607057338,Trifolium pratense,Red Clover,51875,Fabaceae
195111,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/249074/medium.jpg,35.9849996959,-79.0606628185,Trifolium repens,white clover,55745,Fabaceae
